y_idx,y,n_preimage_strict,n_preimage_eff,max_K,entropy,total_mass,entropy_over_log_npre
961,1442,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
962,1444,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
963,1445,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
964,1447,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
965,1448,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
966,1450,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
967,1451,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
968,1453,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
969,1454,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
970,1456,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
971,1457,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
972,1459,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
973,1460,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
974,1462,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
975,1463,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
976,1465,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
977,1466,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
978,1468,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
979,1469,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
980,1471,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
981,1472,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
982,1474,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
983,1475,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
984,1477,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
985,1478,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
986,1480,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
987,1481,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
988,1483,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
989,1484,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
990,1486,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
991,1487,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
992,1489,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
993,1490,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
994,1492,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
995,1493,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
996,1495,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
997,1496,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
998,1498,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
999,1499,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
1000,1501,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
1001,1502,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
1002,1504,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
1003,1505,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
1004,1507,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
1005,1508,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
1006,1510,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
1007,1511,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
