absorption,r,v_64,v_32,lambda_PF,spec_gap_ratio
(f) {1, 5, 21},3,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},5,0.0000000000,,0.9160213942,0.2254351289
(f) {1, 5, 21},7,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},9,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},11,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},13,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},15,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},17,0.0258549712,,0.9160213942,0.2254351289
(f) {1, 5, 21},19,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},21,0.0000000000,,0.9160213942,0.2254351289
(f) {1, 5, 21},23,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},25,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},27,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},29,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},31,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},33,0.0258549712,,0.9160213942,0.2254351289
(f) {1, 5, 21},35,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},37,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},39,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},41,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},43,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},45,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},47,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},49,0.0258549712,,0.9160213942,0.2254351289
(f) {1, 5, 21},51,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},53,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},55,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},57,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},59,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},61,0.0329112941,,0.9160213942,0.2254351289
(f) {1, 5, 21},63,0.0370826341,,0.9160213942,0.2254351289
(f) {1, 5, 21},1_mod32,,0.0258549712,,
(f) {1, 5, 21},3_mod32,,0.0741652681,,
(f) {1, 5, 21},5_mod32,,0.0329112941,,
(f) {1, 5, 21},7_mod32,,0.0741652681,,
(f) {1, 5, 21},9_mod32,,0.0658225883,,
(f) {1, 5, 21},11_mod32,,0.0741652681,,
(f) {1, 5, 21},13_mod32,,0.0658225883,,
(f) {1, 5, 21},15_mod32,,0.0741652681,,
(f) {1, 5, 21},17_mod32,,0.0517099424,,
(f) {1, 5, 21},19_mod32,,0.0741652681,,
(f) {1, 5, 21},21_mod32,,0.0329112941,,
(f) {1, 5, 21},23_mod32,,0.0741652681,,
(f) {1, 5, 21},25_mod32,,0.0658225883,,
(f) {1, 5, 21},27_mod32,,0.0741652681,,
(f) {1, 5, 21},29_mod32,,0.0658225883,,
(f) {1, 5, 21},31_mod32,,0.0741652681,,
(g) I_2={7,27,31,59,63},1,0.0392988450,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},3,0.0412407677,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},5,0.0497088897,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},7,0.0000000000,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},9,0.0250443489,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},11,0.0218565749,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},13,0.0494506840,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},15,0.0215398638,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},17,0.0382196088,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},19,0.0416865816,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},21,0.0492630757,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},23,0.0340152802,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},25,0.0250443489,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},27,0.0000000000,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},29,0.0495212814,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},31,0.0000000000,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},33,0.0375155892,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},35,0.0412407677,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},37,0.0492630757,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},39,0.0335694663,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},41,0.0250443489,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},43,0.0214107610,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},45,0.0485590561,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},47,0.0215398638,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},49,0.0382196088,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},51,0.0407949537,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},53,0.0488172618,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},55,0.0340152802,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},57,0.0245985350,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},59,0.0000000000,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},61,0.0495212814,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},63,0.0000000000,,0.8632923757,0.4592080666
(g) I_2={7,27,31,59,63},1_mod32,,0.0768144341,,
(g) I_2={7,27,31,59,63},3_mod32,,0.0824815353,,
(g) I_2={7,27,31,59,63},5_mod32,,0.0989719654,,
(g) I_2={7,27,31,59,63},7_mod32,,0.0335694663,,
(g) I_2={7,27,31,59,63},9_mod32,,0.0500886978,,
(g) I_2={7,27,31,59,63},11_mod32,,0.0432673359,,
(g) I_2={7,27,31,59,63},13_mod32,,0.0980097402,,
(g) I_2={7,27,31,59,63},15_mod32,,0.0430797276,,
(g) I_2={7,27,31,59,63},17_mod32,,0.0764392176,,
(g) I_2={7,27,31,59,63},19_mod32,,0.0824815353,,
(g) I_2={7,27,31,59,63},21_mod32,,0.0980803375,,
(g) I_2={7,27,31,59,63},23_mod32,,0.0680305604,,
(g) I_2={7,27,31,59,63},25_mod32,,0.0496428839,,
(g) I_2={7,27,31,59,63},27_mod32,,0.0000000000,,
(g) I_2={7,27,31,59,63},29_mod32,,0.0990425628,,
(g) I_2={7,27,31,59,63},31_mod32,,0.0000000000,,
