r,N_r,ell,t_label,t_val,eta,J_size,max_concentration,concentration_ratio,entropy,entropy_normalized,r_eff,r_eff_ratio,low_freq_mass,classification
14,3188646,2,1,1.0,0.25,643682,1.047176119811615e-05,6.740484191525799,12.978033752320796,0.9703231756062771,380183,0.5906379236952408,0.24952431584724546,β
14,3188646,3,1,1.0,0.25,643682,1.076440886160093e-05,6.92885622485301,12.978406542880993,0.9703510478808536,380164,0.5906084060141499,0.25000019025274256,β
14,3188646,0,2,2.0,0.5,1337858,4.149066691471812e-06,5.5508620657190955,13.744187134509707,0.9743103402046821,789592,0.5901911862095978,0.25013034371067344,β
14,3188646,1,2,2.0,0.5,1337858,4.251123055629331e-06,5.6873989889581456,13.744403379209018,0.974325669554064,789489,0.5901141974708826,0.24991709285237523,β
14,3188646,2,2,2.0,0.5,1337858,4.358430462019096e-06,5.830961061055944,13.744350721994508,0.9743219367419244,789794,0.5903421738330974,0.24993723805950072,β
14,3188646,3,2,2.0,0.5,1337858,4.149066691471812e-06,5.5508620657190955,13.744187134509707,0.9743103402046821,789592,0.5901911862095978,0.25013034371067344,β
14,3188646,0,2,2.0,0.25,643682,1.2882588122510903e-05,8.292290087874063,12.97788520662594,0.9703120693529643,377676,0.586743143353395,0.24990699059623722,β
14,3188646,1,2,2.0,0.25,643682,1.2495882397744758e-05,8.043374573545142,12.979894539696703,0.9704623003111574,378327,0.5877545123213015,0.24999519559478325,β
14,3188646,2,2,2.0,0.25,643682,1.220804744920397e-05,7.85810039819851,12.978202941085188,0.9703358252712629,377861,0.5870305523534913,0.2502074187609761,β
14,3188646,3,2,2.0,0.25,643682,1.2882588122510903e-05,8.292290087874063,12.97788520662594,0.9703120693529643,377676,0.586743143353395,0.24990699059623722,β
14,3188646,0,3,3.0,0.5,1337858,4.4214796780771724e-06,5.9153119591529695,13.744549687898159,0.9743360412164472,789519,0.5901366213753627,0.25000757209099195,β
14,3188646,1,3,3.0,0.5,1337858,4.482007078759584e-06,5.996289026375139,13.744083929129168,0.9743030240885351,788918,0.5896873958222771,0.2505649312605326,β
14,3188646,2,3,3.0,0.5,1337858,4.703602253825743e-06,6.292751904098801,13.743747757294,0.9742791932361257,788749,0.5895610744937057,0.2499727106055731,β
14,3188646,3,3,3.0,0.5,1337858,4.4214796780771724e-06,5.9153119591529695,13.744549687898159,0.9743360412164472,789519,0.5901366213753627,0.25000757209099195,β
14,3188646,0,3,3.0,0.25,643682,1.378963233383713e-05,8.876138119908951,12.9847677885439,0.9708266564522474,382046,0.5935322100043189,0.2499237243340626,β
14,3188646,1,3,3.0,0.25,643682,1.3295260126300844e-05,8.55791962861758,12.985333127530941,0.9708689249138395,382231,0.5938196190044153,0.2504960210141328,β
14,3188646,2,3,3.0,0.25,643682,1.3039695901822988e-05,8.393417537477225,12.985557591940513,0.9708857073496739,382150,0.5936937804692379,0.24966573664311,β
14,3188646,3,3,3.0,0.25,643682,1.378963233383713e-05,8.876138119908951,12.9847677885439,0.9708266564522474,382046,0.5935322100043189,0.2499237243340626,β
