r,ell,eps,c,a,b,absF,theta,s,J,phi_3r,cong_residual_q
5,1,0,244,10,3,81.0000000000,1.870303445347,434,868,72.333333,
5,1,0,244,13,4,81.0000000000,1.560022689437,362,724,60.333333,
5,1,0,244,16,5,81.0000000000,2.103014012280,488,976,81.333333,
5,1,0,244,19,6,81.0000000000,2.335724579212,542,1084,90.333333,
5,1,0,244,22,7,81.0000000000,1.792733256369,416,832,69.333333,
5,1,0,244,25,8,81.0000000000,0.706750610684,164,328,27.333333,
5,1,0,244,28,9,81.0000000000,0.008618909886,2,4,0.333333,
5,1,0,244,31,10,81.0000000000,1.327312122504,308,616,51.333333,
5,1,0,244,34,11,81.0000000000,0.706750610684,164,328,27.333333,
5,1,0,244,37,12,81.0000000000,1.172171744549,272,544,45.333333,
5,1,0,244,40,13,81.0000000000,0.163759287841,38,76,6.333333,
5,1,0,244,43,14,81.0000000000,2.103014012280,488,976,81.333333,
5,1,0,244,46,15,81.0000000000,-0.456802223979,623,2704,-17.666667,
5,1,0,244,49,16,81.0000000000,-1.697925247619,335,2128,-65.666667,
5,1,0,244,52,17,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,1,0,244,55,18,81.0000000000,1.404882311482,326,652,54.333333,
5,1,0,244,58,19,81.0000000000,2.025443823302,470,940,78.333333,
5,1,0,244,61,20,81.0000000000,2.801145713077,650,1300,108.333333,
5,1,0,244,64,21,81.0000000000,0.474040043752,110,220,18.333333,
5,1,0,244,67,22,81.0000000000,-1.232504113754,443,2344,-47.666667,
5,1,0,244,70,23,81.0000000000,2.103014012280,488,976,81.333333,
5,1,0,244,73,24,81.0000000000,3.033856280010,704,1408,117.333333,
5,1,0,244,76,25,81.0000000000,1.094601555572,254,508,42.333333,
5,1,0,244,79,26,81.0000000000,2.801145713077,650,1300,108.333333,
5,1,0,244,82,27,81.0000000000,2.801145713077,650,1300,108.333333,
5,1,0,244,85,28,81.0000000000,2.723575524100,632,1264,105.333333,
5,1,0,244,88,29,81.0000000000,-1.387644491709,407,2272,-53.666667,
5,1,0,244,91,30,81.0000000000,-0.224091657046,677,2812,-8.666667,
5,1,0,244,94,31,81.0000000000,-2.628767515349,119,1696,-101.666667,
