label;inftype;chi;L0_re;L0_im;L1_re;L1_im;L2_re;L2_im
p5a;(1,0);[-1, -1/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.41252303869963421541768558030791080365840457025960;0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;0.13038786173698411822564656945273515557348346864268
p5a;(2,0);[-2, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.55674763846861735119365853088099603829422186345804;-0.34408896372984398024189934038897350835115565227315;0.85607167685404896463408404526754534245030761944796;-0.33570849540608321979457919686150827689535574149504
label;inftype;chi;L1_re;L1_im;L2_re;L2_im
p13a;(-1,0);[0, 1, 1/2]~;0.77989091957934501661818159045181500738248324280613;0.09460873701144666693572629309721478547897246463936;0.86540796643238923524017091736742948799651264145364;0.04628722932170975707840184239101560272050521548903
p13a;(-1,0);[1, 1, 1/2]~;0.98541740939011156174284793093418220495726178592403;-0.32608296029498047379331888993373280497535098401232;1.02016886204233129572825422785080416462930061334943;-0.17452254052735521211681255513219870167696455484126
p13a;(-1,0);[2, 1, 1/2]~;1.12897849140385917213387844589168368760292323814781;0.24614676720579590985504307991162635751644998289133;1.10045081401585300522527769592572814646622993521701;0.13155005274927654140472621142200665541811057577528
p13a;(1,-1);[0, -2, 0]~;1.46898595230593719116818069263442186963293236713757;0.38528395467916995812056479137045074615297103530605;1.23865166438691148903969846263591619434497866930642;0.16870310956364326056463293340423542096171331448763
p13a;(1,-1);[1, -2, 0]~;0.63757205218099733851812917008599182292836150822234;0.36904991151030597623491849989333079946787775488510;0.80665253270747321067725871557226792299760862771628;0.14735491442555508324876342208369828324396736985850
p13a;(1,-1);[2, -2, 0]~;0.77526855709974749720584051194945896226026537711108;-0.63828478129386626373566206660264874151239383992613;0.93901560380663119671312837723532948660454791015588;-0.29331958869398625609256626365006691426849345879001
p13a;(2,1);[0, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.61318184407332556521463652079765309404837266030483;-0.15167672204688285805602073302741457914154066873935
p13a;(2,1);[1, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.94326138229335317339378174846688792790651087629444;-0.33833929453467249667629397225612790496995951204841
p13a;(2,1);[2, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.75796462716539704228716473073411496597220455147135;0.45074154192447845637282591985341241095392895666057
p13a;(1,2);[0, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.61318184407332556521463652079765309404837266030483;0.15167672204688285805602073302741457914154066873935
p13a;(1,2);[1, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.75796462716539704228716473073411496597220455147135;-0.45074154192447845637282591985341241095392895666057
p13a;(1,2);[2, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.94326138229335317339378174846688792790651087629444;0.33833929453467249667629397225612790496995951204841
p13a;(3,0);[0, -3, -3/2]~;2.32450747768776999980206661199456057489068503675677;0.05264899772808955007328408178168353994839497217103;1.15348109743577027724952295372526037390380828834127;-0.05817883446775619118403615217205646116084602766375
p13a;(3,0);[1, -3, -3/2]~;3.91537075689026736691614767247265669619586316686111;-0.86200606534223853141397345302679760201550115856155;2.35831396649867700344529745551922105390605833611493;-0.36197089321886755614657652031559908025702280398297
p13a;(3,0);[2, -3, -3/2]~;-0.88437567248158020953362763477731025085743324058654;-1.73203918571903391123139759977484899500443876814325;0.18507856424310257154460665351616361567325450025728;-0.24883354070826982001921656065643323391434289283087
p13a;(0,3);[0, 3, -3/2]~;2.32450747768776999980206661199456057489068503675677;-0.05264899772808955007328408178168353994839497217103;1.15348109743577027724952295372526037390380828834127;0.05817883446775619118403615217205646116084602766375
p13a;(0,3);[1, 3, -3/2]~;-0.88437567248158020953362763477731025085743324058654;1.73203918571903391123139759977484899500443876814325;0.18507856424310257154460665351616361567325450025728;0.24883354070826982001921656065643323391434289283087
p13a;(0,3);[2, 3, -3/2]~;3.91537075689026736691614767247265669619586316686111;0.86200606534223853141397345302679760201550115856155;2.35831396649867700344529745551922105390605833611493;0.36197089321886755614657652031559908025702280398297
p13b;(1,0);[0, -1, -1/2]~;0.61318184407332556521463652079765309404837266030483;0.15167672204688285805602073302741457914154066873935;0.77989091957934501661818159045181500738248324280613;0.09460873701144666693572629309721478547897246463936
p13b;(1,0);[1, -1, -1/2]~;0.75796462716539704228716473073411496597220455147135;-0.45074154192447845637282591985341241095392895666057;0.98541740939011156174284793093418220495726178592403;-0.32608296029498047379331888993373280497535098401232
