n,len,mean_v,frac_ge_1,frac_ge_2,frac_ge_3,frac_ge_4,frac_ge_5,frac_ge_6,frac_ge_7,frac_ge_8,frac_ge_9,frac_ge_10
7804085,63,1.952381,1.000000,0.507937,0.253968,0.126984,0.063492,0.000000,0.000000,0.000000,0.000000,0.000000
4935847,56,1.982143,1.000000,0.464286,0.232143,0.125000,0.053571,0.035714,0.017857,0.017857,0.017857,0.017857
2069723,27,2.370370,1.000000,0.666667,0.518519,0.148148,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000
6630019,84,1.857143,1.000000,0.404762,0.226190,0.142857,0.035714,0.011905,0.011905,0.011905,0.011905,0.000000
29867,22,2.272727,1.000000,0.636364,0.363636,0.136364,0.045455,0.045455,0.045455,0.000000,0.000000,0.000000
3904433,63,1.936508,1.000000,0.476190,0.253968,0.142857,0.031746,0.015873,0.015873,0.000000,0.000000,0.000000
5406389,81,1.864198,1.000000,0.481481,0.222222,0.111111,0.037037,0.012346,0.000000,0.000000,0.000000,0.000000
8316365,51,2.039216,1.000000,0.549020,0.333333,0.117647,0.039216,0.000000,0.000000,0.000000,0.000000,0.000000
525775,61,1.901639,1.000000,0.491803,0.262295,0.098361,0.032787,0.016393,0.000000,0.000000,0.000000,0.000000
1804337,46,2.043478,1.000000,0.565217,0.282609,0.108696,0.021739,0.021739,0.021739,0.021739,0.000000,0.000000
6649865,84,1.857143,1.000000,0.464286,0.214286,0.107143,0.047619,0.011905,0.011905,0.000000,0.000000,0.000000
6566951,84,1.857143,1.000000,0.464286,0.238095,0.107143,0.035714,0.011905,0.000000,0.000000,0.000000,0.000000
2139857,39,2.128205,1.000000,0.564103,0.282051,0.179487,0.076923,0.025641,0.000000,0.000000,0.000000,0.000000
2928233,62,1.935484,1.000000,0.451613,0.274194,0.145161,0.048387,0.016129,0.000000,0.000000,0.000000,0.000000
1821085,70,1.885714,1.000000,0.500000,0.228571,0.114286,0.028571,0.014286,0.000000,0.000000,0.000000,0.000000
1244011,88,1.818182,1.000000,0.443182,0.204545,0.102273,0.045455,0.022727,0.000000,0.000000,0.000000,0.000000
6131695,74,1.891892,1.000000,0.472973,0.189189,0.121622,0.054054,0.027027,0.013514,0.013514,0.000000,0.000000
5511989,33,2.272727,1.000000,0.545455,0.363636,0.212121,0.090909,0.030303,0.030303,0.000000,0.000000,0.000000
5918687,47,2.063830,1.000000,0.446809,0.297872,0.148936,0.063830,0.021277,0.021277,0.021277,0.021277,0.021277
5424785,45,2.088889,1.000000,0.511111,0.333333,0.111111,0.044444,0.044444,0.044444,0.000000,0.000000,0.000000
