K,convention,r,D_K,D_avg,abs_diff,lambda_PF,n_absorbing
12,cylinder21,11,1.061981,0.657507,0.404474,0.937500,128
12,cylinder21,13,1.066667,0.557318,0.509349,0.937500,128
12,cylinder21,15,1.070339,1.057805,0.012534,0.937500,128
12,cylinder21,17,1.054264,1.131972,0.077708,0.937500,128
12,cylinder21,19,1.068238,0.627469,0.440769,0.937500,128
12,cylinder21,21,0.000000,0.930738,,0.937500,128
12,cylinder21,23,1.068238,1.398056,0.329818,0.937500,128
12,cylinder21,25,1.079365,0.543950,0.535415,0.937500,128
12,cylinder21,27,1.078830,0.801717,0.277113,0.937500,128
12,cylinder21,29,1.058366,1.353787,0.295421,0.937500,128
12,cylinder21,31,1.078830,0.766633,0.312197,0.937500,128
12,values,1,0.930908,1.609081,0.678173,0.997213,6
12,values,3,1.010354,1.236401,0.226047,0.997213,6
12,values,5,0.990143,1.863896,0.873753,0.997213,6
12,values,7,1.011070,0.737504,0.273566,0.997213,6
12,values,9,1.009067,0.695791,0.313276,0.997213,6
12,values,11,1.005523,0.657507,0.348016,0.997213,6
12,values,13,1.004631,0.557318,0.447313,0.997213,6
12,values,15,1.012565,1.057805,0.045240,0.997213,6
12,values,17,0.979021,1.131972,0.152951,0.997213,6
12,values,19,1.010976,0.627469,0.383507,0.997213,6
12,values,21,0.972312,0.930738,0.041574,0.997213,6
12,values,23,1.010699,1.398056,0.387357,0.997213,6
12,values,25,1.016193,0.543950,0.472243,0.997213,6
12,values,27,1.020967,0.801717,0.219250,0.997213,6
12,values,29,0.997058,1.353787,0.356729,0.997213,6
12,values,31,1.020722,0.766633,0.254089,0.997213,6
12,value21,1,0.976315,1.609081,0.632766,0.999510,1
12,value21,3,1.002170,1.236401,0.234231,0.999510,1
12,value21,5,0.994452,1.863896,0.869444,0.999510,1
12,value21,7,1.003814,0.737504,0.266310,0.999510,1
12,value21,9,1.005011,0.695791,0.309220,0.999510,1
12,value21,11,0.998959,0.657507,0.341452,0.999510,1
12,value21,13,1.001260,0.557318,0.443942,0.999510,1
12,value21,15,1.004778,1.057805,0.053027,0.999510,1
12,value21,17,0.987194,1.131972,0.144778,0.999510,1
12,value21,19,1.003030,0.627469,0.375561,0.999510,1
12,value21,21,0.991984,0.930738,0.061246,0.999510,1
12,value21,23,1.002835,1.398056,0.395221,0.999510,1
12,value21,25,1.011436,0.543950,0.467486,0.999510,1
12,value21,27,1.012256,0.801717,0.210539,0.999510,1
12,value21,29,0.993528,1.353787,0.360259,0.999510,1
12,value21,31,1.012061,0.766633,0.245428,0.999510,1
12,value1,1,0.960734,1.609081,0.648347,0.999609,1
12,value1,3,1.002558,1.236401,0.233843,0.999609,1
12,value1,5,0.995033,1.863896,0.868863,0.999609,1
12,value1,7,1.004202,0.737504,0.266698,0.999609,1
12,value1,9,1.005598,0.695791,0.309807,0.999609,1
12,value1,11,0.999344,0.657507,0.341837,0.999609,1
12,value1,13,1.001845,0.557318,0.444527,0.999609,1
12,value1,15,1.005166,1.057805,0.052639,0.999609,1
12,value1,17,0.988555,1.131972,0.143417,0.999609,1
12,value1,19,1.003418,0.627469,0.375949,0.999609,1
12,value1,21,1.000412,0.930738,0.069674,0.999609,1
12,value1,23,1.003223,1.398056,0.394833,0.999609,1
12,value1,25,1.012027,0.543950,0.468077,0.999609,1
12,value1,27,1.012647,0.801717,0.210930,0.999609,1
12,value1,29,0.994109,1.353787,0.359678,0.999609,1
12,value1,31,1.012452,0.766633,0.245819,0.999609,1
12,fine_cylinder,1,0.976315,1.609081,0.632766,0.999510,1
12,fine_cylinder,3,1.002170,1.236401,0.234231,0.999510,1
12,fine_cylinder,5,0.994452,1.863896,0.869444,0.999510,1
12,fine_cylinder,7,1.003814,0.737504,0.266310,0.999510,1
